time [m],flow feed [L/h],flow permeate [L/h],flux at 20° [L/m^2h],k(n=2),energy CP [kWh],energy PP [kWh],res tot [1/m],temperature [°C],viscosity permeate [Pa s],vol feed [L],vol permeate [L],is temperature fixed,flow retentate [L/h],flux at 20° min [L/m^2h],prs retentate [kPa],TMP [kPa],flux at 20° TMP=330 [L/m^2h],TMP class,TMP interval
0.01,2715.2845616181494,139.4860152073498,140.89496485590888,6e-06,,,3800000000000.0,20.0,0.000997387960393639,350.0,,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,313.4503236072572,2,100
0.1,2714.975480476471,139.17693406567136,140.5827616824963,,0.0213471280534442,0.0060179800347917,3808458332208.1904,20.0,0.000997387960393639,349.7680471214968,0.2319528785031759,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,312.755762337183,2,100
0.2,2714.6713373896355,138.87279097883592,140.27554644326864,,0.0426918656463364,0.0120352861735989,3816818013225.953,20.0,0.000997387960393639,349.5366009488858,0.4633990511142347,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,312.07229777014555,2,100
0.3,2714.372020495346,138.57347408454632,139.97320614600642,,0.0640342506965524,0.0180519291058698,3825080607874.584,20.0,0.000997387960393639,349.30565344471523,0.6943465552847973,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,311.3996785313156,2,100
0.4,2714.0774213646623,138.27887495386247,139.6756312665278,,0.0853743202705743,0.0240679192810358,3833247645839.4766,20.0,0.000997387960393639,349.0751967520034,0.9248032479966136,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,310.7376609612388,2,100
0.5,2713.7874348682835,137.9888884574836,139.3827156136199,,0.1067121106093798,0.0300832669158098,3841320622738.535,20.0,0.000997387960393639,348.8452231887508,1.1547768112492622,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,310.0860088153476,2,100
0.6,2713.5019590491243,137.70341263832415,139.09435620032752,,0.1280476571533324,0.0360979820012032,3849301001149.3535,20.0,0.000997387960393639,348.6157252426639,1.384274757336132,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,309.4444929776161,2,100
0.7,2713.220895000837,137.4223485900371,138.81045312124968,,0.1493809945661194,0.0421120743092743,3857190211597.112,20.0,0.000997387960393639,348.3866955660815,1.6133044339185512,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,308.81289118758014,2,100
0.8,2712.94414675196,137.14560034115985,138.53090943551507,,0.1707121567577815,0.0481255533996203,3864989653504.9785,20.0,0.000997387960393639,348.1581269710927,1.8418730289074012,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,308.19098777999216,2,100
0.9,2712.6716211553785,136.8730747445785,138.2556310551299,,0.1920411769068759,0.0541384286256258,3872700696108.757,20.0,0.000997387960393639,347.9300124248391,2.0699875751610417,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,307.57857343642735,2,100
1.0,2712.403227782825,136.60468137202508,137.98452663840928,6e-06,0.2133680874818125,0.060150709140477,3880324679337.393,20.0,0.000997387960393639,347.7023450449923,2.2976549550078973,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,306.9754449481997,2,100
1.1,2712.1388788241397,136.34033241333913,137.71750748822143,,0.2346929202614,0.0661624039029546,3887862914660.888,20.0,0.000997387960393639,347.47511809539856,2.524881904601624,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,306.3814049899847,2,100
1.2,2711.8784889910426,136.0799425802425,137.4544874547905,,0.2560157063546374,0.0721735216830128,3895316685907.074,20.0,0.000997387960393639,347.24832498188385,2.7516750181163414,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,305.79626190358385,2,100
1.3,2711.6219754251906,135.82342901439063,137.19538284281893,,0.2773364762197848,0.0781840710671556,3902687250048.634,20.0,0.000997387960393639,347.02195924821115,2.978040751789034,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,305.21982949129944,2,100
1.4,2711.369257610278,135.57071119947796,136.9401123227051,,0.2986552596827445,0.0841940604636187,3909975837961.675,20.0,0.000997387960393639,346.79601457218433,3.2039854278158524,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,304.65192681841893,2,100
1.5,2711.1202572879884,135.32171087718783,136.68859684564438,,0.3199720859547837,0.0902034981073657,3917183655157.104,20.0,0.000997387960393639,346.5704847618915,3.4295152381087,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,304.09237802434,2,100
1.6,2710.874898377592,135.0763519667914,136.44075956241562,,0.3412869836496259,0.0962123920649064,3924311882485.984,20.0,0.000997387960393639,346.34536375208205,3.6546362479181633,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,303.5410121418939,2,100
1.7,2710.6331068990085,134.83456048820835,136.19652574566507,,0.362599980799939,0.1022207502389449,3931361676819.981,20.0,0.000997387960393639,346.1206456006717,3.8793543993285375,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,302.9976629244496,2,100
1.8,2710.3948108991567,134.59626448835684,135.95582271551203,,0.3839111048732466,0.108228580372865,3938334171707.976,20.0,0.000997387960393639,345.8963244853698,4.103675514630407,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,302.46216868040847,2,100
1.9,2710.159940381426,134.36139397062652,135.71857976830972,,0.4052203827872849,0.11423589005506,3945230478009.8486,20.0,0.000997387960393639,345.67239470042426,4.327605299575971,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,301.93437211471746,2,100
2.0,2709.9284272381205,134.12988082732085,135.484728108405,6e-06,0.4265278409248303,0.120242686723112,3952051684508.3936,20.0,0.000997387960393639,345.4488506534782,4.551149346522044,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,301.4141201770546,2,100
2.1,2709.7002051857207,133.9016587749214,135.25420078274897,,0.44783350514802,0.1262489776678297,3958798858500.279,20.0,0.000997387960393639,345.2256868625348,4.774313137465427,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,300.9012639163564,2,100
2.2,2709.4752097028363,133.67666329203695,135.0269326182192,,0.4691374008121837,0.1322547700371475,3965473046366.917,20.0,0.000997387960393639,345.0028979530251,4.9971020469750895,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,300.3956583413784,2,100
2.3,2709.253377970706,133.4548315599065,134.8028601615218,,0.4904395527792111,0.1382600708398934,3972075274126.0737,20.0,0.000997387960393639,344.7804786549748,5.219521345025431,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,299.8971622869942,2,100
2.4,2709.0346488161326,133.23610240533336,134.58192162154893,,0.5117399854304698,0.1442648869494318,3978606547965.009,20.0,0.000997387960393639,344.5584238002656,5.441576199734645,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,299.4056382859581,2,100
2.5,2708.8189626567337,133.02041624593397,134.3640568140748,,0.5330387226792948,0.1502692251071834,3985067854755.878,20.0,0.000997387960393639,344.33672831998814,5.663271680012033,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,298.9209524458698,2,100
2.6,2708.6062614483917,132.80771503759158,134.14920710867847,,0.5543357879830652,0.1562730919260301,3991460162554.134,20.0,0.000997387960393639,344.1153872418823,5.884612758117935,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,298.4429743310928,2,100
2.7,2708.3964886348103,132.5979422240107,133.93731537778865,,0.5756312043548851,0.1622764938936082,3997784421080.5874,20.0,0.000997387960393639,343.8943956878604,6.105604312139769,1.0,2575.7985464108,114.2472863347464,40.3284,148.33399394,297.971576849394,2,100
