time [m],flow feed [L/h],flow permeate [L/h],flux at 20° [L/m^2h],k(n=2),energy CP [kWh],energy PP [kWh],res tot [1/m],temperature [°C],viscosity permeate [Pa s],vol feed [L],vol permeate [L],is temperature fixed,flow retentate [L/h],flux at 20° min [L/m^2h],prs retentate [kPa],TMP [kPa],flux at 20° TMP=330 [L/m^2h],TMP class,TMP interval
1.7,2729.4389042932444,153.6403578824444,155.19228068933774,,0.3652500210566675,0.1029678244737768,3450328136859.976,20.0,0.000997387960393639,345.5589166019184,4.441083398081679,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,345.2576935816675,2,100
1.8,2729.088395464113,153.28984905331347,154.83823136698328,,0.3867081091618253,0.1090170853147828,3458235295288.104,20.0,0.000997387960393639,345.3034435226966,4.6965564773034725,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,344.4700367993373,2,100
1.9,2728.7435741606546,152.9450277498545,154.489927020055,,0.4081634871276028,0.1150655821389787,3466049250450.491,20.0,0.000997387960393639,345.048544911684,4.951455088316084,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,343.6951609166531,2,100
2.0,2728.4043091665662,152.60576275576645,154.14723510683476,5e-06,0.4296161986068413,0.1211133272525596,3473771503593.674,20.0,0.000997387960393639,344.7942115157884,5.205788484211694,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,342.93277106683604,2,100
2.1,2728.070473369328,152.27192695852824,153.8100272308366,,0.4510662862543382,0.127160332680362,3481403521640.8823,20.0,0.000997387960393639,344.5404342934729,5.459565706527144,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,342.1825816050435,2,100
2.2,2727.7419435973634,151.94339718656366,153.47817897632692,,0.472513791757765,0.133206610174579,3488946738255.3286,20.0,0.000997387960393639,344.2872044082024,5.7127955917976285,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,341.444315742449,2,100
2.3,2727.418600465013,151.62005405421323,153.15156975173053,,0.4939587558673703,0.1392521712231345,3496402554861.7124,20.0,0.000997387960393639,344.0345132221472,5.965486777852857,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,340.71770519786674,2,100
2.4,2727.1003282248757,151.30178181407547,152.8300826404803,,0.5154012184245261,0.1452970270577306,3503772341627.923,20.0,0.000997387960393639,343.78235229013217,6.217647709867871,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,340.0024898659349,2,100
2.5,2726.7870146271075,150.9884682163078,152.5136042588968,,0.5368412183891696,0.1513411886615836,3511057438408.813,20.0,0.000997387960393639,343.5307133538199,6.469286646180096,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,339.2984175009395,2,100
2.6,2726.4785507853035,150.68000437450365,152.2020246207108,,0.5582787938661955,0.1573846667768642,3518259155653.816,20.0,0.000997387960393639,343.2795883361165,6.720411663883533,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,338.6052434154161,2,100
2.7,2726.174831048586,150.37628463778609,151.89523700786478,,0.579713982130844,0.1634274719118549,3525378775280.074,20.0,0.000997387960393639,343.0289693357896,6.971030664210405,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,337.9227301927213,2,100
2.8,2725.875752879581,150.07720646878124,151.5931378472538,,0.6011468196531335,0.1694696143478377,3532417551512.679,20.0,0.000997387960393639,342.77884862229,7.221151377710014,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,337.25064741281614,2,100
2.9,2725.581216737955,149.78267032715513,151.29562659308598,,0.6225773421213793,0.1755111041457241,3539376711693.496,20.0,0.000997387960393639,342.529218630766,7.470781369234067,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,336.58877139055323,2,100
3.0,2725.2911259692173,149.49257955841736,151.00260561456298,5e-06,0.6440055844648401,0.1815519511524398,3546257457060.0137,20.0,0.000997387960393639,342.28007195726286,7.719928042737172,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,335.93688492579787,2,100
3.1,2725.005386698513,149.2068402877131,150.7139800885991,,0.6654315808755342,0.1875921650070746,3553060963495.554,20.0,0.000997387960393639,342.0314013540992,7.968598645900847,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,335.2947770647596,2,100
3.2,2724.723907729141,148.92536131834137,150.42965789731448,,0.6868553648292557,0.193631755146807,3559788382252.113,20.0,0.000997387960393639,341.7831997254112,8.21680027458881,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,334.66224287194416,2,100
3.3,2724.446600445554,148.64805403475347,150.14954953005395,,0.7082769691058338,0.1996707308126159,3566440840647.0425,20.0,0.000997387960393639,341.5354601228589,8.464539877141073,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,334.03908321217415,2,100
