time [m],flow feed [L/h],flow permeate [L/h],flux at 20° [L/m^2h],k(n=2),energy CP [kWh],energy PP [kWh],res tot [1/m],temperature [°C],viscosity permeate [Pa s],vol feed [L],vol permeate [L],is temperature fixed,flow retentate [L/h],flux at 20° min [L/m^2h],prs retentate [kPa],TMP [kPa],flux at 20° TMP=330 [L/m^2h],TMP class,TMP interval
0.01,2721.777444367717,145.97889795691776,147.45343227971492,5e-06,,,3630982732479.321,20.0,0.000997387960393639,350.0,,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,328.04100637907976,2,100
0.1,2721.4342637290824,145.635717318283,147.10678516998286,,0.0213979094911556,0.0060322958564572,3639559706246.6216,20.0,0.000997387960393639,349.7572829808056,0.2427170191944093,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,327.2698173672215,2,100
0.2,2721.096311603724,145.29776519292454,146.7654193867925,,0.0427931627208708,0.0120638428848626,3648045329641.795,20.0,0.000997387960393639,349.51512900931414,0.4848709906858532,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,326.5103777710735,2,100
0.3,2720.763472274401,144.96492586360202,146.4292180440425,,0.0641857998600795,0.0180946524098249,3656440984166.561,20.0,0.000997387960393639,349.27352957049334,0.7264704295066443,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,325.76242755305145,2,100
0.4,2720.4356335134908,144.6370871026912,146.09806778049622,,0.0855758601984508,0.0241247355075154,3664748021015.437,20.0,0.000997387960393639,349.0324763361125,0.9675236638874342,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,325.02571451737015,2,100
0.5,2720.1126864493813,144.314140038582,145.77185862483034,,0.1069633821707224,0.0301541030130911,3672967761981.357,20.0,0.000997387960393639,348.79196115916085,1.2080388408390996,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,324.2999940098155,2,100
0.6,2719.794525439059,143.99597902825946,145.4504838669288,,0.1283484033820354,0.036182765527837,3681101500326.941,20.0,0.000997387960393639,348.551976068477,1.4480239315228962,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,323.5850286314114,2,100
0.7,2719.4810479465327,143.68250153573322,145.13383993508413,,0.1497309606323155,0.0422107334260393,3689150501622.981,20.0,0.000997387960393639,348.3125132635813,1.687486736418582,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,322.88058796522796,2,100
0.8,2719.1721544268007,143.37360801600127,144.8218262787892,,0.1711110899397445,0.0482380168616026,3697116004555.653,20.0,0.000997387960393639,348.0735651097002,1.9264348902997024,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,322.1864483156276,2,100
0.9,2718.8677482150524,143.06920180425325,144.51434525682149,,0.1924888265633635,0.0542646257744216,3704999221703.8345,20.0,0.000997387960393639,347.8351241329752,2.164875867024733,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,321.50239245928503,2,100
1.0,2718.567735420836,142.76918901003668,144.2113020303401,5e-06,0.2138642050248458,0.0602905698965192,3712801340287.902,20.0,0.000997387960393639,347.59718301584763,2.4028169841523197,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,320.82820940735894,2,100
1.1,2718.272024826925,142.47347841612586,143.91260446073323,,0.2352372591294771,0.0663158587579613,3720523522891.244,20.0,0.000997387960393639,347.3597345926115,2.640265407388425,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,320.16369417823256,2,100
1.2,2717.9805277926484,142.18198138184877,143.6181630119685,,0.2566080219863774,0.072340501692557,3728166908155.708,20.0,0.000997387960393639,347.12277184512715,2.8772281548727845,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,319.5086475802716,2,100
1.3,2717.693158161442,141.8946117506424,143.3278906572146,,0.2779765260279979,0.0783645078433559,3735732611452.112,20.0,0.000997387960393639,346.88628789868824,3.11371210131169,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,318.8628760040843,2,100
1.4,2717.409832172419,141.6112857616197,143.0417027895149,,0.2993428030289251,0.0843878861679481,3743221725526.9136,20.0,0.000997387960393639,346.6502760180361,3.3497239819637707,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,318.2261912237965,2,100
1.5,2717.130468375744,141.33192196494463,142.75951713630775,,0.3207068841240196,0.0904106454435784,3750635321126.044,20.0,0.000997387960393639,346.41472960351484,3.585270396485081,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,317.5984102068839,2,100
1.6,2716.8549875516223,141.0564411408233,142.48125367759934,,0.3420687998259216,0.0964327942720813,3757974447596.8936,20.0,0.000997387960393639,346.1796421873604,3.820357812639523,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,316.97935493213066,2,100
1.7,2716.5833126327293,140.78476622193023,142.20683456760636,,0.3634285800419461,0.1024543410846435,3765240133469.3833,20.0,0.000997387960393639,345.94500743011963,4.054992569880288,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,316.36885221530696,2,100
1.8,2716.3153686298983,140.5168222190995,141.93618405969653,,0.3847862540903965,0.1084752941464033,3772433387016.975,20.0,0.000997387960393639,345.71081911719216,4.289180882807756,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,315.76673354218354,2,100
1.9,2716.051082560918,140.25253615011948,141.66922843446417,,0.4061418507163189,0.1144956615608917,3779555196798.486,20.0,0.000997387960393639,345.47707115549093,4.522928844508993,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,315.172834908521,2,100
2.0,2715.7903833822784,139.99183697147987,141.40589593078778,5e-06,0.4274953981067216,0.120515451274323,3786606532181.485,20.0,0.000997387960393639,345.24375757021613,4.756242429783773,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,314.58699666669247,2,100
2.1,2715.5332019237258,139.73465551292745,141.14611667972474,,0.4488469239052809,0.1265346710797403,3793588343848.0312,20.0,0.000997387960393639,345.0108725017381,4.989127498261767,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,314.0090633786191,2,100
2.2,2715.2794708254937,139.48092441469524,140.88982264110635,,0.470196455226554,0.1325533286210226,3800501564283.488,20.0,0.000997387960393639,344.7784102025845,5.22158979741535,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,313.438883674712,2,100
2.3,2715.029124478076,139.23057806727724,140.63694754270432,,0.4915440186697204,0.1385714313967586,3807347108249.0728,20.0,0.000997387960393639,344.5463650345276,5.453634965472269,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,312.8763101185356,2,100
2.4,2714.782098964426,138.98355255362776,140.38742682184628,,0.5128896403318693,0.1445889867639924,3814125873238.824,20.0,0.000997387960393639,344.3147314657677,5.685268534232181,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,312.3211990769192,2,100
2.5,2714.5383320044693,138.73978559367134,140.14119756936503,,0.5342333458208518,0.1506060019418466,3820838739921.592,20.0,0.000997387960393639,344.083504068209,5.916495931790901,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,311.7734105952602,2,100
2.6,2714.2977629018123,138.49921649101455,139.89819847577232,,0.5555751602677143,0.1566224840150276,3827486572568.648,20.0,0.000997387960393639,343.8526775148238,6.147322485176037,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,311.23280827777637,2,100
2.7,2714.060332492556,138.26178608175792,139.65836977955348,,0.5769151083387312,0.1626384399372179,3834070219467.4863,20.0,0.000997387960393639,343.6222465771024,6.37775342289749,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,310.6992591724767,2,100
2.8,2713.8259830961088,138.02743668531062,139.4216532174855,,0.5982532142470517,0.1686538765343589,3840590513322.3496,20.0,0.000997387960393639,343.39220612258373,6.607793877416137,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,310.17263366063327,2,100
2.9,2713.5946584679145,137.79611205711635,139.1879919768852,,0.6195895017639748,0.17466880050783,3847048271642.0,20.0,0.000997387960393639,343.162551112466,6.8374488875339,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,309.6528053505475,2,100
3.0,2713.3663037540014,137.5677573432033,138.9573306497003,5e-06,0.6409239942298678,0.1806832184375263,3853444297115.222,20.0,0.000997387960393639,342.9332765992917,7.066723400708202,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,309.1396509754162,2,100
3.1,2713.1408654472743,137.34231903647603,138.72961518835962,,0.6622567145647436,0.1866971367848407,3859779377974.5366,20.0,0.000997387960393639,342.7043777247061,7.295622275293741,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,308.6330502951107,2,100
3.2,2712.918291345469,137.11974493467045,138.5047928633035,,0.6835876852785041,0.1927105618955514,3866054288348.556,20.0,0.000997387960393639,342.47584971728554,7.524150282714291,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,308.1328860016951,2,100
3.3,2712.6985305106964,136.8999840998985,138.28281222211967,,0.7049169284808713,0.1987235000026216,3872269788603.4346,20.0,0.000997387960393639,342.2476878904326,7.752312109567254,1.0,2575.7985464108,115.06177703408233,40.3284,148.33399394,307.6390436285147,2,100
