index,datetime,time span [s],time [m],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [L],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,vol feed [L],vol permeate [L],delta vol permeate [L],increased TMP,decreased TMP,starting,jumped temperature,changed TMP,TMP group,feed concentration [g/L],retentate concentration [g/L],permeate concentration [g/L],initial feed concentration [g/L],initial retentate concentration [g/L],initial permeate concentration [g/L]
79,2023-11-09 12:19:37,60.0,1.0,10.0,74.7794,304.2716,20.5259,42.0464,152.6331,27.10142,0.0008489947640365799,67.963425,45.30895,2637.1530000000002,73.242,2563.911,0.99,73.98181818181818,8748250564297.277,0.001001589820909034,62.710477841382136,True,-6152.817466666668,164.15656666666672,1.22975,0,0,0,0,False,7.0,1.2968958471342356,0.71232876712327,0.39518014186297407,1.2968958471342356,0.71232876712327,0.39518014186297407
80,2023-11-09 12:20:37,60.0,2.0,10.0,74.5985,301.2876,20.164199999999997,40.238,150.5986,27.29311,0.0008454049713387971,68.11476,45.40984,2642.1440000000002,73.351,2568.794,0.99,74.09191919191919,8655412964154.939,0.0010015899322995665,62.538245244807975,True,-6318.194733333335,165.3772666666667,1.2207000000000001,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
81,2023-11-09 12:21:37,60.0,3.0,10.0,77.4016,304.2716,20.7972,42.498599999999996,152.5879,27.44502,0.0008425774534159278,68.19041999999999,45.46028,2628.4719999999998,72.483,2555.99,0.99,73.21515151515152,8904546327121.82,0.0010015897373588283,61.59152157226716,True,-6484.794516666668,166.5997833333334,1.2225166666666667,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
82,2023-11-09 12:22:37,60.0,4.0,10.0,73.8751,304.0003,20.7972,42.2273,152.3166,27.58608,0.0008399655904042757,68.15259,45.43506,2627.604,72.374,2555.23,0.99,73.1050505050505,8929782083884.92,0.0010015897373588283,61.308262873114884,True,-6652.602350000001,167.8078333333334,1.20805,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
83,2023-11-09 12:23:37,60.0,5.0,10.0,74.6889,303.0961,20.5259,40.780499999999996,151.4124,27.71629,0.0008375662365087414,68.209335,45.47289,2626.5190000000002,72.374,2554.145,0.99,73.1050505050505,8902201099161.512,0.001001589820909034,61.13313129093556,True,-6821.616416666668,169.01406666666674,1.2062333333333333,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
84,2023-11-09 12:24:37,60.0,6.0,10.0,75.95490000000001,306.3513,20.8876,40.8709,152.7235,27.86097,0.0008349131652974525,68.15259,45.43506,2614.149,74.002,2540.1479999999997,0.99,74.74949494949495,8809652891975.736,0.001001589709519141,62.3102821839406,True,-6991.836716666668,170.22030000000007,1.2062333333333333,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
85,2023-11-09 12:25:37,60.0,7.0,10.0,74.7794,300.83549999999997,20.5259,40.780499999999996,150.28209999999999,27.97671,0.0008328005882601987,68.209335,45.47289,2634.983,73.459,2561.523,0.99,74.2010101010101,8755055736811.914,0.001001589820909034,61.696558383089275,True,-7163.290383333334,171.45366666666672,1.2333666666666665,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
86,2023-11-09 12:26:37,60.0,8.0,10.0,75.6836,305.4471,20.977999999999998,41.8656,152.6783,28.08521,0.000830827945560343,68.209335,45.47289,2621.0939999999996,72.80799999999999,2548.285,0.99,73.54343434343434,8995489763778.852,0.0010015896816794475,61.00496199456938,True,-7335.968366666667,172.67798333333337,1.2243166666666667,0,0,0,0,False,7.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
87,2023-11-09 12:27:37,60.0,9.0,10.0,110.1345,337.0949,20.616300000000003,76.9495,186.4059,28.20457,0.0008286666188559617,68.209335,45.47289,2434.0280000000002,90.386,2343.642,0.99,91.2989898989899,8869851273746.904,0.0010015897930692199,75.53633811774672,True,-7509.859816666667,173.89145000000005,1.2134666666666665,1,0,0,0,True,8.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
88,2023-11-09 12:28:37,60.0,10.0,10.0,108.5069,336.8236,20.8876,75.5027,185.2756,28.32031,0.0008265794706361641,68.209335,45.47289,2428.385,91.146,2337.24,0.99,92.06666666666666,8764632177191.879,0.001001589709519141,75.97963105382243,True,-7685.2577,175.39788333333337,1.5064333333333333,0,0,0,0,False,8.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
89,2023-11-09 12:29:37,60.0,11.0,10.0,109.6824,336.3715,20.977999999999998,74.7794,184.5974,28.45052,0.0008242415359767563,68.247165,45.49811,2434.2450000000003,92.44800000000001,2341.797,0.99,93.38181818181819,8633984385376.271,0.0010015896816794475,76.8470109650326,True,-7862.174683333334,176.91698333333338,1.5191000000000001,0,0,0,0,False,8.0,,,,1.2968958471342356,0.71232876712327,0.39518014186297407
