file_idx,tmp_idx,date,time [m],is forecast,flux [L/m^2h],flux at 20° [L/m^2h],d/dt flux at 20°,flux at 20° min [L/m^2h],res tot est [1/m],res tot est at 20° [1/m],TMP est [kPa],increased TMP,decreased TMP,viscosity permeate [Pa s],k(n=0),k(n=1),k(n=1.5),k(n=2),is flux at 20° steady,initial feed concentration [g/L],initial retentate concentration [g/L],initial permeate concentration [g/L],"is TMP in [-inf, 100)","is TMP in [100, 200)","is TMP in [200, 300)","is TMP in [300, 400)","is TMP in [400, inf)"
0,0,2023-11-08,27.0,0.0,483.8969696969697,536.9938127320759,-0.3658629094395564,516.5559719889008,2682411335144.9126,2694722193104.1978,402.5996756864811,0.0,0.0,0.0011166000511269,6.207901386250819e-08,3.333604634467565e-05,0.0007725004340218,0.0179012506280405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,28.0,0.0,483.8969696969697,535.0224975245512,-1.97131520752464,516.5559719889008,2690534235309.3804,2704651022011.204,402.5996756864811,0.0,0.0,0.0011132289619878,3.729295461438047e-07,0.0001995256971785,0.0046151397800383,0.1067507368247982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,29.0,0.0,483.6777777777778,533.121927459492,-1.9005700650592416,516.5559719889008,2699929473808.3506,2714293054169.5176,402.5996756864811,0.0,0.0,0.0011098578728487,4.036586876169438e-07,0.0002151992975781,0.004968829815261,0.1147274643127729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,30.0,0.0,484.7737373737375,533.7276725575516,0.6057450980596286,516.5559719889008,2702032738089.615,2711212513667.6885,402.5996756864811,0.0,0.0,0.0011064867837097,-1.238332184131769e-07,-6.609321544897583e-05,-0.0015269216086673,-0.0352757780534266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,31.0,0.0,485.5414141414141,532.7198150487128,-1.0078575088388106,516.5559719889008,2706004902325.061,2716341881513.1626,402.5996756864811,0.0,0.0,0.0011031156945706,2.197135334464224e-07,0.0001170457529012,0.0027015007046088,0.0623525918378057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,32.0,0.0,485.1030303030303,529.7036166051851,-3.016198443527742,516.5559719889008,2716752614060.788,2731809070896.572,402.5996756864811,0.0,0.0,0.0010997446054315,8.176097819109318e-07,0.0004330908584499,0.0099677121064691,0.2294097940396078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,33.0,0.0,488.0616161616162,532.3369193825822,2.633302777397148,516.5559719889008,2708586636796.7285,2718295673362.442,402.5996756864811,0.0,0.0,0.0010963735162925,-5.888362673793591e-07,-0.0003134592845974,-0.0072322666767667,-0.1668659499144834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,34.0,0.0,489.4868686868687,532.3985516256366,0.0616322430544187,516.5559719889008,2709029594771.056,2717980994332.7515,402.5996756864811,0.0,0.0,0.0010930024271534,-1.3724873309038688e-08,-7.307102670977555e-06,-0.0001686023572491,-0.0038902908786082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,35.0,0.0,489.4868686868687,530.3691846932256,-2.029366932410994,516.5559719889008,2717410759964.956,2728380883526.938,402.5996756864811,0.0,0.0,0.0010896313380143,5.222871179577893e-07,0.000277004992927,0.0063793545308269,0.1469149122546708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,36.0,0.0,490.4737373737373,529.8599853711429,-0.5091993220827362,516.5559719889008,2720359349743.322,2731002877515.2217,402.5996756864811,0.0,0.0,0.0010862602488753,1.3632732007025444e-07,7.223439181811214e-05,0.001662740909506,0.0382741137920382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
