datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m]
2024-07-16 12:31:22,0.0,10.0,27.307599999999997,15.9144,26.9459,2.2606,-17.8584,35.45284,0.0007126707009647257,14.62799,0.0,0.0,0.0,0.99,0.0,0.0,0.001001587843883681,0.0,False,0.0
2024-07-16 12:38:31,429.0,10.0,26.765,300.20250000000004,29.3873,241.60879999999997,241.51839999999999,41.60156,0.0006335527944856919,14.62799,993.056,-3.545,996.6,0.99,-3.580808080808081,-383255916448037.94,0.0010015870921107448,-2.265036145116441,True,7.15
2024-07-16 12:39:31,60.0,10.0,26.765,257.704,28.031,113.11850000000001,157.3803,35.66262,0.0007097115378880094,14.60277,2164.062,-1.6280000000000001,2165.69,0.99,-1.6444444444444446,-485458151598654.25,0.001001587509748649,-1.1652313794637297,True,8.15
2024-07-16 12:40:31,60.0,10.0,26.2225,483.7601,28.211799999999997,222.9818,324.66179999999997,35.95559,0.0007056120589956394,14.65322,1592.8819999999998,20.942,1571.9399999999998,0.99,21.153535353535354,78304142484775.72,0.0010015874540753977,14.902532549815183,True,9.15
2024-07-16 12:41:31,60.0,10.0,26.2225,480.14320000000004,27.669300000000003,223.3435,324.0741,36.04239,0.0007044048142829405,14.65322,1590.061,22.461,1567.6000000000001,0.99,22.687878787878788,73001303622826.23,0.00100158762112637,15.956118772791072,True,10.15
2024-07-16 12:42:31,60.0,10.0,26.041700000000002,485.8398,28.031,224.79019999999997,327.284,36.28834,0.0007010023602791579,14.60277,1589.844,22.244,1567.6000000000001,0.99,22.46868686868687,74804909714159.77,0.001001587509748649,15.725637923815034,True,11.15
2024-07-16 12:43:31,60.0,10.0,26.041700000000002,489.0046,27.8501,227.23160000000001,330.26800000000003,36.49812,0.0006981212819153785,14.62799,1585.721,22.027,1563.694,0.99,22.249494949494952,76545200080550.88,0.0010015875654528347,15.50822561289336,True,12.15
2024-07-16 12:44:31,60.0,10.0,26.041700000000002,482.4038,28.1214,223.6147,324.8879,36.62833,0.0006963426969538002,14.6406,1595.052,22.027,1573.0249999999999,0.99,22.249494949494952,75490596203859.5,0.0010015874819120393,15.468717010534592,True,13.15
2024-07-16 12:45:31,60.0,10.0,25.951200000000004,478.78689999999995,28.1214,220.3595,321.4518,36.82726,0.0006936395844335252,14.65322,1597.656,21.81,1575.846,0.99,22.030303030303028,75729313936995.11,0.0010015874819120393,15.256870233354244,True,14.15
2024-07-16 12:46:31,60.0,10.0,25.951200000000004,374.8011,27.578799999999998,117.1875,218.4154,36.78386,0.000694227811156128,14.69105,2175.1299999999997,13.780000000000001,2161.35,0.99,13.91919191919192,81371013690180.6,0.001001587648993982,9.647772862243762,True,15.15
2024-07-16 12:47:31,60.0,10.0,26.041700000000002,371.365,26.674599999999998,109.592,213.8039,36.9647,0.0006917818266455832,14.69105,2180.556,14.213999999999999,2166.341,0.99,14.357575757575756,77493960745999.61,0.0010015879274260053,9.916563201099358,True,16.15
2024-07-16 12:48:31,60.0,10.0,26.3129,378.2371,27.217200000000002,113.75139999999999,218.77710000000002,37.0732,0.0006903211018908619,14.65322,2171.224,14.106,2157.118,0.99,14.248484848484848,80072710142901.3,0.001001587760341675,9.820437260061876,True,17.15
2024-07-16 12:49:31,60.0,10.0,26.041700000000002,376.6095,27.1267,111.6717,217.01389999999998,37.2215,0.0006883325712114543,14.69105,2171.658,13.889000000000001,2157.7690000000002,0.99,14.02929292929293,80901383551751.48,0.001001587788209492,9.641510597450553,True,18.15
2024-07-16 12:50:31,60.0,10.0,25.8608,374.8011,27.578799999999998,113.93230000000001,216.7878,37.41681,0.0006857279157668759,14.65322,2162.109,14.323,2147.786,0.99,14.467676767676767,78665935506797.94,0.001001587648993982,9.905163912367145,True,19.15
2024-07-16 12:51:31,60.0,10.0,26.041700000000002,373.1735,27.578799999999998,122.9745,220.4952,37.4783,0.0006849111861775628,14.65322,2170.3559999999998,14.974,2155.382,0.99,15.125252525252526,76623987164209.45,0.001001587648993982,10.343033541508987,True,20.15
2024-07-16 12:52:31,60.0,10.0,26.041700000000002,376.6095,26.674599999999998,110.3154,216.7878,37.65191,0.0006826136692540052,14.66583,2164.931,13.889000000000001,2151.042,0.99,14.02929292929293,81494176363160.48,0.0010015879274260053,9.561404307373115,True,21.15
2024-07-16 12:53:31,60.0,10.0,26.3129,370.9129,27.1267,108.23570000000001,212.4475,37.85084,0.0006799965863135438,14.70366,2164.931,13.238,2151.6929999999998,0.99,13.37171717171717,84112436021197.5,0.001001587788209492,9.078307600148214,True,22.15
2024-07-16 12:54:31,60.0,10.0,26.3129,375.7957,27.217200000000002,115.2886,218.32500000000002,37.92318,0.0006790489321043281,14.70366,2164.062,13.129,2150.933,0.99,13.26161616161616,87278735452596.02,0.001001587760341675,8.991010722266562,True,23.15
2024-07-16 12:55:31,60.0,10.0,25.951200000000004,376.6999,27.217200000000002,115.7407,219.0032,38.0353,0.0006775843836164501,14.69105,2169.054,14.323,2154.7309999999998,0.99,14.467676767676767,80424945615701.66,0.001001587760341675,9.787531590486033,True,24.15
2024-07-16 12:56:31,60.0,10.0,26.3129,373.716,26.4938,111.6717,216.20010000000002,38.23785,0.0006749515211581752,14.69105,2166.4500000000003,12.804,2153.646,0.99,12.933333333333334,89161084006576.3,0.001001587983100588,8.71553288804024,True,25.15
2024-07-16 12:57:31,60.0,10.0,26.3129,374.1681,27.217200000000002,109.6824,214.7081,38.39699,0.0006728947163307267,14.69105,2159.939,14.213999999999999,2145.725,0.99,14.357575757575756,80006025240459.31,0.001001587760341675,9.645821613569957,True,26.15
2024-07-16 12:58:31,60.0,10.0,26.2225,370.8225,27.8501,114.8365,215.2506,38.45848,0.0006721027579521403,14.71627,2161.6749999999997,14.323,2147.3520000000003,0.99,14.467676767676767,79691572513693.06,0.0010015875654528347,9.70835281118869,True,27.15
2024-07-16 12:59:31,60.0,10.0,26.041700000000002,371.365,28.3022,115.9216,215.3411,38.54528,0.0006709873522415486,14.71627,2164.062,15.190999999999999,2148.871,0.99,15.344444444444443,75294616352342.11,0.0010015874262388322,10.279610026713948,True,28.15
2024-07-16 13:00:31,60.0,10.0,26.041700000000002,379.5934,27.8501,120.71400000000001,222.3036,38.68272,0.0006692272293667125,14.69105,2164.714,13.889000000000001,2150.8250000000003,0.99,14.02929292929293,85239248091226.47,0.0010015875654528347,9.373903152241999,True,29.15
2024-07-16 13:01:31,60.0,10.0,25.951200000000004,374.5298,27.578799999999998,110.0441,214.7081,38.81293,0.000667566633545936,14.71627,2161.892,15.190999999999999,2146.701,0.99,15.344444444444443,75457973717480.62,0.001001587648993982,10.227201914579483,True,30.15
2024-07-16 13:02:31,60.0,10.0,26.2225,372.2692,27.307599999999997,114.9269,216.29049999999998,39.00825,0.0006650882328691344,14.72888,2157.552,15.299,2142.252,0.99,15.453535353535353,75758755393168.0,0.0010015877325047036,10.261671730105038,True,31.15
2024-07-16 13:03:31,60.0,10.0,26.2225,369.4661,27.307599999999997,110.0441,212.4475,39.15654,0.0006632166003697386,14.71627,2164.931,15.299,2149.631,0.99,15.453535353535353,74622687771797.03,0.0010015877325047036,10.232794240835165,True,32.15
2024-07-16 13:04:31,60.0,10.0,26.041700000000002,369.5566,28.031,115.01740000000001,214.256,39.2542,0.0006619887539394745,14.71627,2152.7780000000002,15.734000000000002,2137.044,0.99,15.892929292929296,73312989746532.19,0.001001587509748649,10.504264836244507,True,33.15
2024-07-16 13:05:31,60.0,10.0,26.2225,377.0616,27.217200000000002,117.6396,220.13349999999997,39.33377,0.0006609909158587389,14.71627,2159.5049999999997,15.299,2144.206,0.99,15.453535353535353,77582773034826.34,0.001001587760341675,10.198453786120725,True,34.15
2024-07-16 13:06:31,60.0,10.0,26.3129,372.6309,27.217200000000002,114.02270000000001,216.10969999999998,39.41334,0.000659995619529563,14.71627,2152.7780000000002,15.190999999999999,2137.587,0.99,15.344444444444443,76821810642420.8,0.001001587760341675,10.111211936129614,True,35.15
2024-07-16 13:07:31,60.0,10.0,25.951200000000004,371.4554,27.307599999999997,111.4909,214.16559999999998,39.50738,0.0006588224796069283,14.7541,2157.118,14.865,2142.253,0.99,15.015151515151516,77938866760814.83,0.0010015877325047036,9.876637893864572,True,36.15
2024-07-16 13:08:30,60.0,10.0,26.2225,369.8278,27.307599999999997,115.1078,215.1602,39.60865,0.0006575629271779031,14.70366,2156.467,14.106,2142.3610000000003,0.99,14.248484848484848,82671998263766.05,0.0010015877325047036,9.354423083227708,True,37.15
2024-07-16 13:09:30,60.0,10.0,26.3129,366.66310000000004,27.398,111.31,211.4077,39.73162,0.0006560387547397292,14.70366,2150.174,13.889000000000001,2136.285,0.99,14.02929292929293,82690957968386.02,0.0010015877046677514,9.189170174832878,True,38.15
2024-07-16 13:10:30,60.0,10.0,26.3129,375.0723,27.307599999999997,114.20360000000001,217.3304,39.84737,0.0006546093003872744,14.71627,2155.599,14.213999999999999,2141.384,0.99,14.357575757575756,83245294164787.2,0.0010015877325047036,9.383703810369722,True,39.15
2024-07-16 13:11:30,60.0,10.0,26.041700000000002,369.647,27.307599999999997,112.84719999999999,213.93949999999998,39.95587,0.0006532739909919351,14.70366,2154.948,15.299,2139.648,0.99,15.453535353535353,76290464543274.3,0.0010015877325047036,10.079389341254332,True,40.15
2024-07-16 13:12:30,60.0,10.0,26.2225,371.7267,27.1267,110.0441,213.75869999999998,40.05715,0.0006520315146617823,14.7541,2150.608,15.190999999999999,2135.417,0.99,15.344444444444443,76914203008672.78,0.001001587788209492,9.989200617791504,True,41.15
2024-07-16 13:13:30,60.0,10.0,26.3129,372.3597,27.1267,111.943,215.02460000000002,40.17289,0.0006506163794825139,14.71627,2155.382,14.974,2140.408,0.99,15.125252525252526,78661644662395.23,0.001001587788209492,9.825136800370274,True,42.15
2024-07-16 13:14:30,60.0,10.0,26.3129,373.716,27.307599999999997,113.48020000000001,216.29049999999998,40.27416,0.0006493822900000019,14.7541,2148.654,14.974,2133.681,0.99,15.125252525252526,79275113197008.86,0.0010015877325047036,9.806501021247954,True,43.15
2024-07-16 13:15:30,60.0,10.0,26.403399999999998,370.0991,27.578799999999998,110.7675,212.8545,40.3899,0.0006479765403514562,14.71627,2150.174,15.190999999999999,2134.983,0.99,15.344444444444443,77068141305139.69,0.001001587648993982,9.927079307250896,True,44.15
2024-07-16 13:16:30,60.0,10.0,26.4938,371.4554,28.031,110.0441,212.7188,40.48394,0.0006468380321371274,14.72888,2152.9950000000003,15.190999999999999,2137.804,0.99,15.344444444444443,77154570642006.61,0.001001587509748649,9.909638600797566,True,45.15
2024-07-16 13:17:30,60.0,10.0,26.403399999999998,372.0884,27.217200000000002,115.7407,216.69740000000002,40.58521,0.0006456154646942301,14.76671,2152.7780000000002,15.299,2137.478,0.99,15.453535353535353,78190578555678.73,0.001001587760341675,9.961225369844716,True,46.15
