index,datetime,time span [s],time [m],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [L],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,vol feed [L],vol permeate [L],delta vol permeate [L],increased TMP,decreased TMP,starting,jumped temperature,changed TMP,TMP group,feed concentration [g/L],retentate concentration [g/L],permeate concentration [g/L],initial feed concentration [g/L],initial retentate concentration [g/L],initial permeate concentration [g/L]
0,2024-07-11 11:08:45,0.0,1.0,10.0,24.8662,9.9465,2.9839,9.223099999999999,6.6008,27.04716,0.0008500168793398007,21.84741,14.56494,-0.651,-0.289,-0.36200000000000004,0.99,-0.2919191919191919,-95765455093575.92,0.0010015952239218909,-0.2477410381041301,True,100.0,0.0,0.0,0,0,0,0,False,0.0,,,,,,
1,2024-07-11 11:09:45,60.0,2.0,10.0,24.9566,9.765600000000001,3.2552,9.6752,6.4652,26.95674,0.0008517220741129043,21.904155,14.60277,-0.868,-0.289,-0.579,0.99,-0.2919191919191919,-93610359660600.17,0.0010015951403492453,-0.24823804509283176,True,100.00481666666667,-0.004816666666666666,-0.004816666666666666,0,0,0,0,False,0.0,,,,,,
2,2024-07-11 11:10:45,60.0,3.0,10.0,24.5045,9.9465,2.8935,9.042200000000001,6.6008,27.03631,0.0008502212144834742,21.904155,14.60277,-0.651,-0.434,-0.217,0.99,-0.4383838383838384,-63754758176903.7,0.0010015952517692334,-0.37212959907931875,True,100.01445,-0.009633333333333332,-0.004816666666666666,0,0,0,0,False,0.0,,,,,,
3,2024-07-11 11:11:45,60.0,4.0,10.0,24.8662,9.5848,2.9839,9.1327,6.3748,26.96398,0.00085158535632356,21.866325000000003,14.57755,-0.651,-0.579,-0.07200000000000001,0.99,-0.5848484848484848,-46078412766288.82,0.0010015952239218909,-0.497255172019302,True,100.03131666666667,-0.016866666666666665,-0.007233333333333333,0,0,0,0,False,0.0,,,,,,
4,2024-07-11 11:12:45,60.0,5.0,10.0,24.8662,9.765600000000001,3.1648,9.223099999999999,6.3748,27.0544,0.0008498805641992534,21.904155,14.60277,-1.085,-1.013,-0.07200000000000001,0.99,-1.023232323232323,-26389849680546.94,0.001001595168196518,-0.8682402749021396,True,100.05783333333333,-0.026516666666666664,-0.009649999999999999,0,0,0,0,False,0.0,,,,,,
5,2024-07-11 11:13:45,60.0,6.0,10.0,24.685299999999998,9.4944,3.1648,9.1327,6.1487,27.02184,0.0008504938138708407,21.904155,14.60277,-1.519,-1.013,-0.506,0.99,-1.023232323232323,-25435506775058.203,0.001001595168196518,-0.8688667724194047,True,100.10123333333334,-0.043399999999999994,-0.01688333333333333,0,0,0,0,False,0.0,,,,,,
6,2024-07-11 11:14:45,60.0,7.0,10.0,24.8662,9.6752,2.7127,9.042200000000001,6.646000000000001,27.00014,0.000850902957751659,21.88524,14.59016,-1.085,-0.723,-0.36200000000000004,0.99,-0.7303030303030302,-38501681916010.5,0.0010015953074640801,-0.6204272363387979,True,100.16151666666667,-0.06028333333333333,-0.01688333333333333,0,0,0,0,False,0.0,,,,,,
7,2024-07-11 11:15:45,60.0,8.0,10.0,24.9566,9.4944,2.8031,9.1327,6.5104,27.09057,0.000849200189886157,21.904155,14.60277,-1.519,-0.723,-0.796,0.99,-0.7303030303030302,-37791748692705.11,0.0010015952796166364,-0.6191856976853389,True,100.23385,-0.07233333333333333,-0.01205,0,0,0,0,False,0.0,,,,,,
8,2024-07-11 11:16:45,60.0,9.0,10.0,24.8662,9.4944,2.8935,9.1327,6.419999999999999,27.13397,0.0008483849320243139,21.904155,14.60277,-1.519,-1.157,-0.36200000000000004,0.99,-1.1686868686868688,-23310222447511.027,0.0010015952517692334,-0.9899171625436752,True,100.31823333333334,-0.08438333333333334,-0.01205,0,0,0,0,False,0.0,,,,,,
9,2024-07-11 11:17:45,60.0,10.0,10.0,24.685299999999998,9.765600000000001,2.8935,9.223099999999999,6.6008,27.13759,0.0008483169890256796,21.941985,14.62799,-0.868,-1.013,0.145,0.99,-1.023232323232323,-27375789923564.7,0.0010015952517692334,-0.8666428499784736,True,100.42190000000001,-0.10366666666666667,-0.019283333333333333,0,0,0,0,False,0.0,,,,,,
