index,datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
17,2024-07-15 13:04:21,60.0,10.0,25.4087,397.2258,27.1267,133.554,238.2632,33.75651,0.0007373540261914272,14.32535,1996.528,46.296,1950.232,0.5,0.99,46.763636363636365,24875690246704.375,0.001001587788209492,34.426693254437915,True,17.0,47.6817602297145
18,2024-07-15 13:05:21,60.0,10.0,25.5896,392.976,27.578799999999998,132.0168,234.9175,34.21947,0.0007304814691013926,14.33796,1981.337,50.202999999999996,1931.134,0.5,0.99,50.710101010101006,22830435313039.72,0.001001587648993982,36.98407136044982,True,18.0,51.953317862434425
19,2024-07-15 13:06:21,60.0,10.0,25.499100000000002,392.976,27.1267,129.3945,233.60639999999998,34.70414,0.0007233972212931226,14.35057,1979.167,45.718,1933.449,0.5,0.99,46.17979797979798,25174356184113.363,0.001001587788209492,33.35337943584866,True,19.0,47.116068797045195
20,2024-07-15 13:07:21,60.0,10.0,25.5896,392.16220000000004,27.1267,131.11260000000001,234.51059999999998,35.10561,0.0007176131008429492,14.33796,1973.307,47.019999999999996,1926.288,0.5,0.99,47.494949494949495,24770067482311.426,0.001001587788209492,34.028967188566774,True,20.0,47.88508140880215
21,2024-07-15 13:08:21,60.0,10.0,25.5896,391.9813,27.578799999999998,134.0061,235.41490000000002,35.65538,0.0007098133023215044,14.37579,1990.0169999999998,49.913,1940.104,0.5,0.99,50.41717171717171,23681752315322.957,0.001001587648993982,35.73005236857811,True,21.0,50.08568821102987
22,2024-07-15 13:09:21,60.0,10.0,25.7704,386.6464,27.307599999999997,126.5914,229.3113,36.09664,0.0007036519861222947,14.37579,1982.856,49.624,1933.232,0.5,0.99,50.12525252525253,23405259778166.594,0.0010015877325047036,35.21482177709267,True,22.0,50.677359495326144
23,2024-07-15 13:10:21,60.0,10.0,25.7704,391.8005,27.1267,134.4582,236.0026,36.48365,0.0006983193297438392,14.35057,1989.1490000000001,50.781,1938.3680000000002,0.5,0.99,51.2939393939394,23719152662868.37,0.001001587788209492,35.762765679811636,True,23.0,50.006706173312665
24,2024-07-15 13:11:21,60.0,10.0,26.2225,394.2419,27.307599999999997,133.1923,236.40949999999998,36.88513,0.0006928563589330251,14.40101,1977.6480000000001,49.624,1928.024,0.5,0.99,50.12525252525253,24505730014073.203,0.0010015877325047036,34.67454605139324,True,24.0,48.40160905953344
25,2024-07-15 13:12:21,60.0,10.0,25.951200000000004,388.5453,27.578799999999998,130.2988,231.8432,37.32639,0.000686931781883404,14.3884,1990.451,52.373000000000005,1938.0790000000002,0.5,0.99,52.90202020202021,22967355682968.02,0.001001587648993982,36.28247516740687,True,25.0,51.64359707442042
26,2024-07-15 13:13:21,60.0,10.0,25.8608,390.1729,27.398,128.58069999999998,231.9788,37.71701,0.0006817554837785584,14.3884,1917.969,48.756,1869.213,0.5,0.99,49.24848484848485,24873063844163.15,0.0010015877046677514,33.52220125782944,True,26.0,47.68679903113437
27,2024-07-15 13:14:21,60.0,10.0,26.2225,385.3805,27.8501,127.58609999999999,228.6332,38.12934,0.0006763600256696285,14.3884,1939.4530000000002,49.913,1889.54,0.5,0.99,50.41717171717171,24137116385881.35,0.0010015875654528347,34.04610913015785,True,27.0,49.14078975823324
28,2024-07-15 13:15:21,60.0,10.0,26.041700000000002,391.9813,27.398,134.2773,236.13819999999998,38.54528,0.000670987253021633,14.41362,1995.443,52.373000000000005,1943.0700000000002,0.5,0.99,52.90202020202021,23948715366684.04,0.0010015877046677514,35.44031246512104,True,28.0,49.52736623506889
29,2024-07-15 13:16:21,60.0,10.0,26.041700000000002,396.5024,27.578799999999998,136.53789999999998,238.94129999999998,38.97208,0.0006655460857020726,14.3884,2001.0849999999998,51.794,1949.2910000000002,0.5,0.99,52.31717171717172,24704230543758.645,0.001001587648993982,34.76429535282342,True,29.0,48.012702142458124
30,2024-07-15 13:17:21,60.0,10.0,26.2225,389.8112,27.669300000000003,133.1018,233.78730000000002,39.27951,0.0006616710791584686,14.41362,2007.812,54.253,1953.559,0.5,0.99,54.8010101010101,23210938453125.992,0.00100158762112637,36.20276721444678,True,30.0,51.101634608755205
31,2024-07-15 13:18:21,60.0,10.0,26.4938,389.08779999999996,27.8501,131.11260000000001,232.2501,39.55078,0.000658282274030084,14.45145,2004.774,55.122,1949.653,0.5,0.99,55.67878787878788,22811638337299.05,0.0010015875654528347,36.594263311881285,True,31.0,51.99613215632986
32,2024-07-15 13:19:20,60.0,10.0,26.403399999999998,386.1039,27.578799999999998,128.58069999999998,229.7634,39.98843,0.0006528741744642106,14.45145,1981.988,51.505,1930.483,0.5,0.99,52.025252525252526,24352281951106.03,0.001001587648993982,33.91210327706468,True,32.0,48.70660027415744
33,2024-07-15 13:20:21,60.0,10.0,26.2225,388.0932,27.217200000000002,133.4635,233.56119999999999,40.24161,0.0006497785281482159,14.46406,1995.443,55.266000000000005,1940.176,0.5,0.99,55.82424242424243,23180083953697.574,0.001001587760341675,36.215891920483706,True,33.0,51.16964775724574
34,2024-07-15 13:21:20,60.0,10.0,26.4938,389.35909999999996,27.398,134.5486,234.5558,40.60691,0.0006453540309488713,14.45145,1992.188,58.304,1933.883,0.5,0.99,58.892929292929296,22217106344689.81,0.0010015877046677514,37.94654141265289,True,34.0,53.38754644385453
