datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
2024-07-16 10:10:23,0.0,10.0,24.685299999999998,377.3329,9.5848,252.45950000000002,305.3114,26.65654,0.0008574227154978064,14.32535,1351.1280000000002,-0.289,1351.4180000000001,0.25,0.99,-0.2919191919191919,-4391247224581859.5,0.0010015931906454465,-0.24990000788641717,True,0.0,-0.2701078394141774
2024-07-16 10:11:23,60.0,10.0,24.5949,459.8886,10.6698,196.0359,317.2924,26.78313,0.0008550110086062022,14.31274,1710.286,-124.421,1834.708,0.25,0.99,-125.67777777777779,-10629968340495.275,0.001001592856452382,-107.28499394231913,True,1.0,-111.58177126513371
2024-07-16 10:12:23,60.0,10.0,25.047000000000004,403.0128,11.9358,138.1655,258.6534,27.18822,0.0008473669023202407,14.35057,2085.721,-124.85499999999999,2210.576,0.25,0.99,-126.1161616161616,-8713215417545.902,0.0010015924665161369,-106.69675019913295,True,2.0,-136.12783580542097
2024-07-16 10:13:23,60.0,10.0,24.685299999999998,307.07460000000003,12.2975,42.0464,162.26309999999998,27.57885,0.0008400997622150027,14.35057,2379.774,-124.711,2504.4849999999997,0.25,0.99,-125.97070707070706,-5519780917729.55,0.0010015923551115863,-105.65971327163992,True,3.0,-214.88376211006187
2024-07-16 10:14:23,60.0,10.0,24.8662,302.4631,13.3825,38.4295,157.0638,27.95862,0.0008331306725283923,14.37579,2243.2729999999997,-0.434,2243.706,0.25,0.99,-0.4383838383838384,-1548142533872189.2,0.0010015920209323526,-0.3646504908838256,True,4.0,-0.766151474697941
2024-07-16 10:15:23,60.0,10.0,24.8662,299.1175,13.653799999999999,37.0732,154.44150000000002,28.37818,0.0008255394837609739,14.31274,2229.167,-0.434,2229.601,0.25,0.99,-0.4383838383838384,-1536293267735802.2,0.001001591937373079,-0.3613279561512128,True,5.0,-0.7720607837265256
2024-07-16 10:16:23,60.0,10.0,24.9566,298.21320000000003,14.2867,36.169000000000004,153.1304,28.81583,0.0008177394227830043,14.35057,2251.0849999999996,-0.434,2251.5190000000002,0.25,0.99,-0.4383838383838384,-1537780846911067.2,0.0010015917424437233,-0.35791403998874327,True,6.0,-0.7713140773895012
2024-07-16 10:17:23,60.0,10.0,25.1374,352.4667,15.462200000000001,80.65679999999999,201.09949999999998,29.21369,0.0008107513766211252,14.35057,2248.4809999999998,-1.157,2249.639,0.25,0.99,-1.1686868686868688,-764060296126113.1,0.001001591380401827,-0.9460090274007541,True,7.0,-1.5523806824096973
2024-07-16 10:18:23,60.0,10.0,25.047000000000004,339.80760000000004,16.366500000000002,76.407,191.7408,29.57899,0.0008044198756346433,14.3884,2187.0660000000003,-0.579,2187.645,0.25,0.99,-0.5848484848484848,-1467205255835952.8,0.0010015911018912012,-0.4697163788282459,True,8.0,-0.8084163882351652
2024-07-16 10:19:23,60.0,10.0,25.047000000000004,340.5309,16.8186,82.5557,194.8152,29.97323,0.000797676062063816,14.37579,2255.208,-1.302,2256.51,0.25,0.99,-1.3151515151515152,-668533216853809.5,0.0010015909626527222,-1.0473985097118532,True,9.0,-1.774201952439602
2024-07-16 10:20:23,60.0,10.0,25.1374,476.6168,17.4515,214.02999999999997,327.8718,30.38194,0.0007907807744612916,14.3884,1652.778,-1.157,1653.935,0.25,0.99,-1.1686868686868688,-1277180559076645.5,0.001001590767732798,-0.9227072941326203,True,10.0,-0.9286965425625647
2024-07-16 10:21:23,60.0,10.0,25.3183,511.33889999999997,19.0791,249.566,360.8308,30.89916,0.0007821921342275497,14.3884,1364.1490000000001,-1.302,1365.451,0.25,0.99,-1.3151515151515152,-1262748519482895.5,0.0010015902664748655,-1.0270678588855615,True,11.0,-0.9393111492484436
2024-07-16 10:22:23,60.0,10.0,25.047000000000004,510.61560000000003,20.7972,246.1299,357.5756,31.18851,0.000777453030684856,14.35057,1373.698,-1.736,1375.434,0.25,0.99,-1.7535353535353535,-944238468450637.8,0.0010015897373588283,-1.3611275397190796,True,12.0,-1.2561597830145466
2024-07-16 10:23:23,60.0,10.0,25.1374,508.8975,21.9727,248.4809,356.71659999999997,31.49595,0.0007724683844794374,14.40101,1378.038,-1.302,1379.34,0.25,0.99,-1.3151515151515152,-1264064740441502.8,0.0010015893753530796,-1.0143008614649556,True,13.0,-0.9383339162893888
2024-07-16 10:24:23,60.0,10.0,25.4087,507.90290000000005,23.7811,247.8479,354.0943,31.94083,0.0007653464583710298,14.3884,1372.179,-1.4469999999999998,1373.626,0.25,0.99,-1.4616161616161614,-1139541177752935.0,0.0010015888184528364,-1.1168682519027775,True,14.0,-1.0408710988228747
2024-07-16 10:25:23,60.0,10.0,25.4087,512.6953000000001,25.499100000000002,250.4702,356.0836,32.18316,0.0007615117340376593,14.3884,1371.962,-1.157,1373.119,0.25,0.99,-1.1686868686868688,-1440388710220067.8,0.001001588289405688,-0.8885574774929328,True,15.0,-0.8234694537256639
2024-07-16 10:26:23,60.0,10.0,25.1374,509.07840000000004,26.403399999999998,250.651,353.46139999999997,32.59187,0.0007551142424961465,14.43884,1366.7530000000002,-1.013,1367.766,0.25,0.99,-1.023232323232323,-1646863413988402.0,0.0010015880109378542,-0.7714322577919606,True,16.0,-0.7202275696054704
2024-07-16 10:27:23,60.0,10.0,25.3183,512.3336,26.403399999999998,251.01270000000002,354.456,32.79441,0.0007519760998832108,14.41362,1368.49,36.314,1332.176,0.25,0.99,36.680808080808085,46261733318642.38,0.0010015880109378542,27.53935819912892,True,17.0,25.639256228453018
