index,datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
0,2024-07-12 09:50:07,0.0,10.0,24.5949,10.3986,4.2499,4.1594,3.0292,26.97483,0.0008513803884113624,14.52711,-1.085,-0.289,-0.796,0.0,0.99,-0.2919191919191919,-43877730747442.51,0.0010015948339397488,-0.24813853524312737,False,0.0,-27.032126181906786
1,2024-07-12 09:51:07,60.0,10.0,24.5045,150.1917,5.0637,36.801899999999996,88.4332,26.39251,0.0008624885850038879,14.5145,2290.5820000000003,-0.289,2290.871,0.0,0.99,-0.2919191919191919,-1264450513569567.2,0.0010015945832585495,-0.2513761306044015,True,1.0,-0.9380427610835353
2,2024-07-12 09:52:07,60.0,10.0,24.8662,262.4964,8.6806,43.945299999999996,144.5403,26.84462,0.0008538437242482811,14.53972,2427.734,-0.289,2428.0240000000003,0.0,0.99,-0.2919191919191919,-2087615023955947.8,0.0010015934691542186,-0.24885682433443784,True,2.0,-0.5681650863486826
3,2024-07-12 09:53:07,60.0,10.0,24.8662,304.7237,11.9358,40.509299999999996,160.6807,27.46311,0.0008422424366366987,14.5145,2421.224,-0.289,2421.513,0.0,0.99,-0.2919191919191919,-2352699433810371.0,0.0010015924665161369,-0.24547581947999314,True,3.0,-0.5041490386113436
4,2024-07-12 09:54:07,60.0,10.0,24.8662,296.8569,16.366500000000002,35.8073,149.96560000000002,28.01649,0.0008320767395868737,14.57755,2391.493,-0.434,2391.927,0.0,0.99,-0.4383838383838384,-1480049476528559.8,0.0010015911018912012,-0.36418953227644246,True,4.0,-0.8014007589155513
5,2024-07-12 09:55:07,60.0,10.0,24.5045,298.0324,20.7972,34.9935,146.6652,28.61328,0.0008213341758518001,14.52711,2282.118,-0.579,2282.697,0.0,0.99,-0.5848484848484848,-1099173668921774.9,0.0010015897373588283,-0.47959362040578946,True,5.0,-1.079096436877395
6,2024-07-12 09:56:07,60.0,10.0,24.9566,293.1496,24.685299999999998,31.286199999999997,137.5325,29.26071,0.0008099315751079989,14.59016,2292.101,-0.434,2292.535,0.0,0.99,-0.4383838383838384,-1394456506635279.5,0.0010015885400084695,-0.3544977788195443,True,6.0,-0.8505936197658708
7,2024-07-12 09:57:07,60.0,10.0,25.047000000000004,299.93129999999996,27.1267,39.8763,142.777,29.87919,0.0007992761320585989,14.59016,2391.493,97.801,2293.692,0.0,0.99,98.78888888888889,6509622559900.9795,0.001001587788209492,78.83442862520467,True,7.0,182.20974979385713
8,2024-07-12 09:58:07,60.0,10.0,25.1374,301.2876,27.307599999999997,41.1422,143.9073,30.45428,0.0007895702720135212,14.59016,2424.696,96.209,2328.487,0.0,0.99,97.18080808080809,6751713904935.686,0.0010015877325047036,76.60944176999203,True,8.0,175.67639573598677
9,2024-07-12 09:59:07,60.0,10.0,25.1374,301.8301,27.578799999999998,38.1583,142.4154,30.9715,0.0007810029274374861,14.59016,2421.007,95.92,2325.087,0.0,0.99,96.88888888888889,6775366890760.2705,0.001001587648993982,75.55055809083984,True,9.0,175.06311936754838
