index,datetime,time span [s],time [m],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [L],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,vol feed [L],vol permeate [L],delta vol permeate [L],increased TMP,decreased TMP,starting,jumped temperature,changed TMP,TMP group,feed concentration [g/L],retentate concentration [g/L],permeate concentration [g/L],initial feed concentration [g/L],initial retentate concentration [g/L],initial permeate concentration [g/L]
38,2023-11-08 12:44:31,60.0,39.0,10.0,322.6273,550.8536,20.977999999999998,292.7879,400.84270000000004,16.54731,0.0010924505184895764,67.83102,45.22068,1106.337,483.18100000000004,623.155,0.99,488.0616161616162,2706450265160.3096,0.0010015896816794475,532.3369193825822,True,-4419.237466666666,263.3427166666666,8.0042,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
39,2023-11-08 12:45:31,60.0,40.0,10.0,325.6113,557.9065,20.8876,298.4845,407.308,16.65582,0.0010893957423243087,67.849935,45.23329,1111.762,484.59200000000004,627.17,0.99,489.4868686868687,2749784893688.9604,0.001001589709519141,532.3985516256366,True,-4690.633199999998,271.3957333333333,8.053016666666668,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
40,2023-11-08 12:46:31,60.0,41.0,10.0,324.8879,559.2628000000001,20.5259,297.1282,407.6696,16.80411,0.0010852433654402727,67.812105,45.20807,1108.5069999999998,484.59200000000004,623.915,0.99,489.4868686868687,2762756713392.8647,0.001001589820909034,530.3691846932256,True,-4970.105466666665,279.4722666666666,8.076533333333334,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
41,2023-11-08 12:47:31,60.0,42.0,10.0,322.08480000000003,557.2736,20.8876,294.0538,404.77610000000004,16.91985,0.00108201982775952,67.75536,45.17024,1108.941,485.56899999999996,623.3720000000001,0.99,490.4737373737373,2745784097307.6035,0.001001589709519141,529.8599853711429,True,-5257.654266666665,287.5487999999999,8.076533333333334,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
42,2023-11-08 12:48:31,60.0,43.0,10.0,323.98359999999997,552.7524,20.4355,293.6921,402.78679999999997,16.96687,0.0010807149156342555,67.774275,45.18285,1106.337,486.762,619.5749999999999,0.99,491.6787878787879,2728884236267.58,0.0010015898487489084,530.5211513727977,True,-5553.295883333331,295.6416166666666,8.092816666666666,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
43,2023-11-08 12:49:31,60.0,44.0,10.0,322.5369,553.1141,20.7972,291.2507,401.38530000000003,17.16941,0.0010751218051393095,67.75536,45.17024,1108.5069999999998,487.956,620.5509999999999,0.99,492.88484848484853,2726847345428.1978,0.0010015897373588283,529.0701654214334,True,-5857.050199999998,303.7543166666666,8.1127,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
44,2023-11-08 12:50:31,60.0,45.0,10.0,326.0634,553.8375,20.7972,295.4102,403.8267,17.28877,0.001071847579497212,67.83102,45.22068,1109.1580000000001,489.47499999999997,619.683,0.99,494.4191919191919,2743273945596.254,0.0010015897373588283,529.1008826757748,True,-6168.937116666664,311.88691666666665,8.1326,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
45,2023-11-08 12:51:31,60.0,46.0,10.0,323.26030000000003,553.8375,20.4355,293.1496,403.1485,17.35388,0.0010700684286418275,67.83102,45.22068,1113.498,489.58299999999997,623.915,0.99,494.5282828282828,2742615105311.0225,0.0010015898487489084,528.3391232309338,True,-6488.981949999998,320.0448333333333,8.157916666666667,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
46,2023-11-08 12:52:31,60.0,47.0,10.0,323.5315,553.0237,20.164199999999997,294.1442,403.4198,17.5094,0.0010658377327666805,67.849935,45.23329,1118.056,491.211,626.845,0.99,496.1727272727273,2746222559049.4746,0.0010015899322995665,528.0001302357869,True,-6817.186499999998,328.20455,8.159716666666666,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
47,2023-11-08 12:53:31,60.0,48.0,10.0,323.98359999999997,556.731,20.3451,295.7718,405.9063,17.636,0.001062413443780001,67.83102,45.22068,1113.498,492.188,621.3109999999999,0.99,497.15959595959595,2766552453044.8994,0.0010015898765888666,527.3506160531209,True,-7153.577899999998,336.3914,8.18685,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
48,2023-11-08 12:54:31,60.0,49.0,10.0,324.707,556.0981,20.5259,294.5059,404.324,17.71557,0.001060270255644403,67.849935,45.23329,1111.1109999999999,492.83900000000006,618.2729999999999,0.99,497.8171717171718,2757690802787.6587,0.001001589820909034,526.9829314376358,True,-7498.172433333331,344.5945333333333,8.203133333333334,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
49,2023-11-08 12:55:31,60.0,50.0,10.0,322.5369,555.9172,20.7972,294.4155,404.3692,17.89641,0.0010554252654435346,67.86885000000001,45.2459,1113.498,491.319,622.1790000000001,0.99,496.2818181818182,2779231468738.7593,0.0010015897373588283,522.9570054007988,True,-7850.980949999998,352.8085166666666,8.213983333333335,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
50,2023-11-08 12:56:31,60.0,51.0,10.0,325.6113,552.9333,20.616300000000003,295.9527,404.50480000000005,17.94343,0.0010541714633545427,67.849935,45.23329,1122.396,493.49,628.906,0.99,498.4747474747475,2771224836481.234,0.0010015897930692199,524.6437789471612,True,-8211.978116666665,360.9971666666666,8.18865,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
51,2023-11-08 12:57:31,60.0,52.0,10.0,321.9039,553.4758,20.616300000000003,292.7879,402.5155,18.07726,0.001050615740568152,67.90668000000001,45.27112,1118.2730000000001,494.90000000000003,623.3720000000001,0.99,499.89898989898995,2759046036970.14,0.0010015897930692199,524.3681106938974,True,-8581.200116666665,369.2219999999999,8.224833333333333,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
52,2023-11-08 12:58:31,60.0,53.0,10.0,323.5315,555.8268,21.0684,295.2293,404.4596,18.20023,0.0010473653769102764,67.812105,45.20807,1122.179,496.094,626.085,0.99,501.1050505050505,2774282329466.1323,0.0010015896538398015,524.0070902108284,True,-8958.670449999998,377.47033333333326,8.248333333333333,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
53,2023-11-08 12:59:31,60.0,54.0,10.0,322.356,553.3854,21.249299999999998,294.3251,402.606,18.33767,0.0010437517894567488,67.849935,45.23329,1116.7530000000002,497.83,618.924,0.99,502.85858585858585,2761465621080.923,0.001001589598129836,524.0265571982823,True,-9344.409016666665,385.7385666666666,8.268233333333333,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
54,2023-11-08 13:00:31,60.0,55.0,10.0,322.6273,545.8804,20.616300000000003,288.9902,396.81890000000004,18.43533,0.0010411965735389452,67.90668000000001,45.27112,1124.7830000000001,496.962,627.8209999999999,0.99,501.9818181818182,2733217118992.4478,0.0010015897930692199,521.8321439440205,True,-9738.444749999999,394.03573333333327,8.297166666666666,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
55,2023-11-08 13:01:31,60.0,56.0,10.0,323.4411,549.3164,20.8876,292.3358,399.93850000000003,18.50767,0.0010393100515808111,67.86885000000001,45.2459,1124.7830000000001,500.21700000000004,624.5659999999999,0.99,505.269696969697,2741746728846.1055,0.001001589709519141,524.2983926740924,True,-10140.763183333333,402.31843333333325,8.2827,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
56,2023-11-08 13:02:31,60.0,57.0,10.0,324.707,550.311,20.616300000000003,295.5006,402.28950000000003,18.67405,0.0010349922650825963,67.812105,45.20807,1125.651,500.21700000000004,625.4340000000001,0.99,505.269696969697,2769369094912.1846,0.0010015897930692199,522.1201651244489,True,-10551.418566666665,410.65538333333325,8.33695,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
57,2023-11-08 13:03:31,60.0,58.0,10.0,321.9039,553.9278999999999,20.616300000000003,292.7879,402.74159999999995,18.75723,0.0010328444030028013,67.90668000000001,45.27112,1122.179,503.038,619.1410000000001,0.99,508.11919191919196,2762666698599.117,0.0010015897930692199,523.9750515266824,True,-10970.410899999999,418.99233333333325,8.33695,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
58,2023-11-08 13:04:31,60.0,59.0,10.0,321.4518,550.7632,20.7972,289.804,399.4864,18.89829,0.001029218280093176,67.92559499999999,45.28373,1126.9530000000002,501.41100000000006,625.543,0.99,506.47575757575765,2758915161130.82,0.0010015897373588283,520.4467345038886,True,-11397.787199999999,427.3762999999999,8.383966666666668,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
59,2023-11-08 13:05:31,60.0,60.0,10.0,321.1806,551.7578000000001,21.4301,291.8837,400.39059999999995,19.02488,0.0010259813890312736,67.849935,45.23329,1127.604,503.47200000000004,624.1320000000001,0.99,508.5575757575758,2762528471248.045,0.001001589542450814,520.9425476841556,True,-11833.520349999999,435.7331499999999,8.356850000000001,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
60,2023-11-08 13:06:31,60.0,61.0,10.0,325.15909999999997,559.3533,20.977999999999998,295.6814,406.5393,19.0502,0.0010253361290276093,67.86885000000001,45.2459,1131.944,504.66599999999994,627.279,0.99,509.7636363636363,2800076670070.148,0.0010015896816794475,521.8494990400759,True,-12277.644699999999,444.12434999999994,8.391200000000001,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
61,2023-11-08 13:07:31,60.0,62.0,10.0,321.271,545.8804,21.3397,289.6231,396.412,19.24913,0.0010202878691395428,67.90668000000001,45.27112,1126.302,504.66599999999994,621.636,0.99,509.7636363636363,2743833273438.4106,0.0010015895702903028,519.2802218972096,True,-12730.180149999998,452.5354499999999,8.4111,0,0,0,0,False,4.0,,,,0.0,0.0,0.0
